goal,element,res_cc_mgmt,res_eco_spp_diversity,res_fp_mgmt,res_fp_reg,po_water,hd_mpa_coast,hd_mpa_eez,hd_habitat,sp_alien_species,fp_mpa_coast,fp_mpa_eez,fp_habitat,fp_fish_management,fp_mora_artisanal,g_tourism,g_mariculture,g_msi_gov,g_cites,species_diversity_3nm,species_diversity_eez,wgi_all,res_spi,li_gci,li_sector_evenness
RAO,,x,x,x,x,,,,,,,,,,,,,,,,,,,,
RS,,,x,,x,,,,,,,,,,,,,,,,,,,,
CP,coral,x,x,,x,x,x,,x,,,,,,,,,,,,,x,x,,
CS,rainforest,x,x,,,,,,,,,,,,,,,,,,,,,,
CW,,,x,,,x,,,,,,,,,,,,,,,,x,x,,
HAB,coral,x,x,,x,x,x,,x,,x,,x,,x,x,x,,,x,,x,x,,
HAB,rainforest,x,x,,,,,,,,,,,,,,,,,,,,,,
ICO,,x,x,x,x,x,,x,x,,,x,x,x,x,,,,x,,x,x,x,,
LSP,,x,x,,x,x,,x,x,,,x,x,x,x,x,x,,x,,,x,x,,
SPP,,x,x,x,x,,,,,,,,,,,,,,,,,x,x,x,x
TR,,x,x,x,x,x,,,x,,,,,,,,,,,,,x,x,,
AO,,,,,,,,,,,,,,,,,,,,,,,,,
CP,mangrove,,,,,,,,,,,,,,,,,,,,,,,,
CP,saltmarsh,,,,,,,,,,,,,,,,,,,,,,,,
CP,seagrass,,,,,,,,,,,,,,,,,,,,,,,,
CP,seaice_shoreline,,,,,,,,,,,,,,,,,,,,,,,,
CS,mangrove,,,,,,,,,,,,,,,,,,,,,,,,
CS,saltmarsh,,,,,,,,,,,,,,,,,,,,,,,,
CS,seagrass,,,,,,,,,,,,,,,,,,,,,,,,
ECO,,,,,,,,,,,,,,,,,,,,,,,,,
FIS,,,,,,,,,,,,,,,,,,,,,,,,,
HAB,mangrove,,,,,,,,,,,,,,,,,,,,,,,,
HAB,saltmarsh,,,,,,,,,,,,,,,,,,,,,,,,
HAB,seagrass,,,,,,,,,,,,,,,,,,,,,,,,
HAB,seaice_edge,,,,,,,,,,,,,,,,,,,,,,,,
HAB,soft_bottom,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,,,,,,,,,,,,,,,,
NP,corals,,,,,,,,,,,,,,,,,,,,,,,,
NP,fish_oil,,,,,,,,,,,,,,,,,,,,,,,,
NP,ornamentals,,,,,,,,,,,,,,,,,,,,,,,,
NP,seaweeds,,,,,,,,,,,,,,,,,,,,,,,,
NP,shells,,,,,,,,,,,,,,,,,,,,,,,,
NP,sponges,,,,,,,,,,,,,,,,,,,,,,,,
TR,,,,,,,,,,,,,,,,,,,,,,,,,